Sector,Average_Return,Stocks
Consumer Cyclical,0.7518312966224702,"BAJAJ-AUTO, EICHERMOT, HEROMOTOCO, M&M, MARUTI, TITAN, TRENT"
Communication Services,0.69599048957095,BHARTIARTL
Utilities,0.601840952881961,"NTPC, POWERGRID"
Industrials,0.5191366207399336,"ADANIPORTS, BEL, LT"
Technology,0.38275954166627263,"HCLTECH, INFY, TCS, TECHM, WIPRO"
Healthcare,0.32404118662447023,"APOLLOHOSP, CIPLA, DRREDDY, SUNPHARMA"
Energy,0.28974006000064,"ADANIENT, BPCL, COALINDIA, ONGC, RELIANCE"
Other,0.2748811346603271,TATAMOTORS
Basic Materials,0.2085340931481011,"ASIANPAINT, GRASIM, HINDALCO, JSWSTEEL, TATASTEEL, ULTRACEMCO"
Financial Services,0.1150427809650684,"AXISBANK, BAJAJFINSV, BAJFINANCE, HDFCBANK, HDFCLIFE, ICICIBANK, INDUSINDBK, KOTAKBANK, SBILIFE, SBIN, SHRIRAMFIN"
Consumer Defensive,0.050579087533629385,"BRITANNIA, HINDUNILVR, ITC, NESTLEIND, TATACONSUM"
